airport_code,notam_number,message
VOCC,D0419/18,"D0419/18 NOTAMR D0370/18
Q) VOMF/QFAHX/IV/NBO/A/000/020/
A) VOCC B) 1810051020 C) 1901051200 EST
D) 0130-0230 AND 1100-1200 DLY
E) INTENSE TO MOD BIRD ACT OBSERVED. PILOTS TO EXER CTN
F) GND G) 2000FT AGL"
VOCC,D0285/24,"D0285/24 NOTAMN
Q) VOMF/QOBCE/IV/NBO/AE/000/004/
A) VOCC B) 2407081130 C) 2409081130 EST
E) OPR OF TWO COCHIN SHIP YARD CRANES EASTERN SIDE OF AIRFIELD 
ELEVATION 394FT ON RDL 38.72 DIST OF 1.12NM FM ARP, PILOTS TO EXER 
CTN.
COORD 095735.33N07176.63E
F) GND G) 394FT AMSL"
